code,language,safety,Unnamed: 3,Unnamed: 4,Unnamed: 5
"static u8 secs_to_retrans(int seconds, int timeout, int rto_max)

{

	u8 res = 0;



	if (seconds > 0) {

		int period = timeout;



		res = 1;

		while (seconds > period && res < 255) {

			res++;

			timeout <<= 1;

			if (timeout > rto_max)

				timeout = rto_max;

			period += timeout;

		}

	}",c,safe,,,
"static int retrans_to_secs(u8 retrans, int timeout, int rto_max)

{

	int period = 0;



	if (retrans > 0) {

		period = timeout;

		while (--retrans) {

			timeout <<= 1;

			if (timeout > rto_max)

				timeout = rto_max;

			period += timeout;

		}

	}",c,safe,,,
"A lot of things set to zero explicitly by call to

 *       sk_alloc() so need not be done here.

 */

void tcp_init_sock(struct sock *sk)

{

	struct inet_connection_sock *icsk = inet_csk(sk);

	struct tcp_sock *tp = tcp_sk(sk);



	tp->out_of_order_queue = RB_ROOT;

	tcp_init_xmit_timers(sk);

	tcp_prequeue_init(tp);

	INIT_LIST_HEAD(&tp->tsq_node);



	icsk->icsk_rto = TCP_TIMEOUT_INIT;

	tp->mdev_us = jiffies_to_usecs(TCP_TIMEOUT_INIT);

	minmax_reset(&tp->rtt_min, tcp_time_stamp, ~0U);



	/* So many TCP implementations out there (incorrectly) count the

	 * initial SYN frame in their delayed-ACK and congestion control

	 * algorithms that we must have the following bandaid to talk

	 * efficiently to them.  -DaveM

	 */

	tp->snd_cwnd = TCP_INIT_CWND;



	/* There's a bubble in the pipe until at least the first ACK. */

	tp->app_limited = ~0U;



	/* See draft-stevens-tcpca-spec-01 for discussion of the

	 * initialization of these values.

	 */

	tp->snd_ssthresh = TCP_INFINITE_SSTHRESH;

	tp->snd_cwnd_clamp = ~0;

	tp->mss_cache = TCP_MSS_DEFAULT;



	tp->reordering = sock_net(sk)->ipv4.sysctl_tcp_reordering;

	tcp_assign_congestion_control(sk);



	tp->tsoffset = 0;



	sk->sk_state = TCP_CLOSE;



	sk->sk_write_space = sk_stream_write_space;

	sock_set_flag(sk, SOCK_USE_WRITE_QUEUE);



	icsk->icsk_sync_mss = tcp_sync_mss;



	sk->sk_sndbuf = sysctl_tcp_wmem[1];

	sk->sk_rcvbuf = sysctl_tcp_rmem[1];



	sk_sockets_allocated_inc(sk);

}",c,safe,,,
"static void tcp_tx_timestamp(struct sock *sk, u16 tsflags, struct sk_buff *skb)

{

	if (tsflags && skb) {

		struct skb_shared_info *shinfo = skb_shinfo(skb);

		struct tcp_skb_cb *tcb = TCP_SKB_CB(skb);



		sock_tx_timestamp(sk, tsflags, &shinfo->tx_flags);

		if (tsflags & SOF_TIMESTAMPING_TX_ACK)

			tcb->txstamp_ack = 1;

		if (tsflags & SOF_TIMESTAMPING_TX_RECORD_MASK)

			shinfo->tskey = TCP_SKB_CB(skb)->seq + skb->len - 1;

	}

}",c,safe,,,
"as the upper poll layers

 *	take care of normal races (between the test and the event) and we don't

 *	go look at any of the socket buffers directly.

 */

unsigned int tcp_poll(struct file *file, struct socket *sock, poll_table *wait)

{

	unsigned int mask;

	struct sock *sk = sock->sk;

	const struct tcp_sock *tp = tcp_sk(sk);

	int state;



	sock_rps_record_flow(sk);



	sock_poll_wait(file, sk_sleep(sk), wait);



	state = sk_state_load(sk);

	if (state == TCP_LISTEN)

		return inet_csk_listen_poll(sk);



	/* Socket is not locked. We are protected from async events

	 * by poll logic and correct handling of state changes

	 * made by other threads is impossible in any case.

	 */



	mask = 0;



	/*

	 * POLLHUP is certainly not done right. But poll() doesn't

	 * have a notion of HUP in just one direction, and for a

	 * socket the read side is more interesting.

	 *

	 * Some poll() documentation says that POLLHUP is incompatible

	 * with the POLLOUT/POLLWR flags, so somebody should check this

	 * all. But careful, it tends to be safer to return too many

	 * bits than too few, and you can easily break real applications

	 * if you don't tell them that something has hung up!

	 *

	 * Check-me.

	 *

	 * Check number 1. POLLHUP is _UNMASKABLE_ event (see UNIX98 and

	 * our fs/select.c). It means that after we received EOF,

	 * poll always returns immediately, making impossible poll() on write()

	 * in state CLOSE_WAIT. One solution is evident --- to set POLLHUP

	 * if and only if shutdown has been made in both directions.

	 * Actually, it is interesting to look how Solaris and DUX

	 * solve this dilemma. I would prefer, if POLLHUP were maskable,

	 * then we could set it on SND_SHUTDOWN. BTW examples given

	 * in Stevens' books assume exactly this behaviour, it explains

	 * why POLLHUP is incompatible with POLLOUT.	--ANK

	 *

	 * NOTE. Check for TCP_CLOSE is added. The goal is to prevent

	 * blocking on fresh not-connected or disconnected socket. --ANK

	 */

	if (sk->sk_shutdown == SHUTDOWN_MASK || state == TCP_CLOSE)

		mask |= POLLHUP;

	if (sk->sk_shutdown & RCV_SHUTDOWN)

		mask |= POLLIN | POLLRDNORM | POLLRDHUP;



	/* Connected or passive Fast Open socket? */

	if (state != TCP_SYN_SENT &&

	    (state != TCP_SYN_RECV || tp->fastopen_rsk)) {

		int target = sock_rcvlowat(sk, 0, INT_MAX);



		if (tp->urg_seq == tp->copied_seq &&

		    !sock_flag(sk, SOCK_URGINLINE) &&

		    tp->urg_data)

			target++;



		if (tp->rcv_nxt - tp->copied_seq >= target)

			mask |= POLLIN | POLLRDNORM;



		if (!(sk->sk_shutdown & SEND_SHUTDOWN)) {

			if (sk_stream_is_writeable(sk)) {

				mask |= POLLOUT | POLLWRNORM;

			} else {  /* send SIGIO later */

				sk_set_bit(SOCKWQ_ASYNC_NOSPACE, sk);

				set_bit(SOCK_NOSPACE, &sk->sk_socket->flags);



				/* Race breaker. If space is freed after

				 * wspace test but before the flags are set,

				 * IO signal will be lost. Memory barrier

				 * pairs with the input side.

				 */

				smp_mb__after_atomic();

				if (sk_stream_is_writeable(sk))

					mask |= POLLOUT | POLLWRNORM;

			}

		}",c,safe,,,
"else if (state == TCP_SYN_SENT && inet_sk(sk)->defer_connect) {

		/* Active TCP fastopen socket with defer_connect

		 * Return POLLOUT so application can call write()

		 * in order for kernel to generate SYN+data

		 */

		mask |= POLLOUT | POLLWRNORM;

	}",c,safe,,,
"This barrier is coupled with smp_wmb() in tcp_reset() */

	smp_rmb();

	if (sk->sk_err || !skb_queue_empty(&sk->sk_error_queue))

		mask |= POLLERR;



	return mask;

}

EXPORT_SYMBOL(tcp_poll);



int tcp_ioctl(struct sock *sk, int cmd, unsigned long arg)

{

	struct tcp_sock *tp = tcp_sk(sk);

	int answ;

	bool slow;



	switch (cmd) {

	case SIOCINQ:

		if (sk->sk_state == TCP_LISTEN)

			return -EINVAL;



		slow = lock_sock_fast(sk);

		answ = tcp_inq(sk);

		unlock_sock_fast(sk, slow);

		break;

	case SIOCATMARK:

		answ = tp->urg_data && tp->urg_seq == tp->copied_seq;

		break;

	case SIOCOUTQ:

		if (sk->sk_state == TCP_LISTEN)

			return -EINVAL;



		if ((1 << sk->sk_state) & (TCPF_SYN_SENT | TCPF_SYN_RECV))

			answ = 0;

		else

			answ = tp->write_seq - tp->snd_una;

		break;

	case SIOCOUTQNSD:

		if (sk->sk_state == TCP_LISTEN)

			return -EINVAL;



		if ((1 << sk->sk_state) & (TCPF_SYN_SENT | TCPF_SYN_RECV))

			answ = 0;

		else

			answ = tp->write_seq - tp->snd_nxt;

		break;

	default:

		return -ENOIOCTLCMD;

	}



	return put_user(answ, (int __user *)arg);

}",c,safe,,,
"static inline void tcp_mark_push(struct tcp_sock *tp, struct sk_buff *skb)

{

	TCP_SKB_CB(skb)->tcp_flags |= TCPHDR_PSH;

	tp->pushed_seq = tp->write_seq;

}",c,safe,,,
"static inline bool forced_push(const struct tcp_sock *tp)

{

	return after(tp->write_seq, tp->pushed_seq + (tp->max_window >> 1));

}",c,safe,,,
"static void skb_entail(struct sock *sk, struct sk_buff *skb)

{

	struct tcp_sock *tp = tcp_sk(sk);

	struct tcp_skb_cb *tcb = TCP_SKB_CB(skb);



	skb->csum    = 0;

	tcb->seq     = tcb->end_seq = tp->write_seq;

	tcb->tcp_flags = TCPHDR_ACK;

	tcb->sacked  = 0;

	__skb_header_release(skb);

	tcp_add_write_queue_tail(sk, skb);

	sk->sk_wmem_queued += skb->truesize;

	sk_mem_charge(sk, skb->truesize);

	if (tp->nonagle & TCP_NAGLE_PUSH)

		tp->nonagle &= ~TCP_NAGLE_PUSH;



	tcp_slow_start_after_idle_check(sk);

}",c,safe,,,
"static inline void tcp_mark_urg(struct tcp_sock *tp, int flags)

{

	if (flags & MSG_OOB)

		tp->snd_up = tp->write_seq;

}",c,safe,,,
"it gives a chance

 * to coalesce future sendmsg() payload into this skb, without

 * need for a timer, and with no latency trade off.

 * As packets containing data payload have a bigger truesize

 * than pure acks (dataless) packets, the last checks prevent

 * autocorking if we only have an ACK in Qdisc/NIC queues,

 * or if TX completion was delayed after we processed ACK packet.

 */

static bool tcp_should_autocork(struct sock *sk, struct sk_buff *skb,

				int size_goal)

{

	return skb->len < size_goal &&

	       sysctl_tcp_autocorking &&

	       skb != tcp_write_queue_head(sk) &&

	       atomic_read(&sk->sk_wmem_alloc) > skb->truesize;

}",c,safe,,,
"static void tcp_push(struct sock *sk, int flags, int mss_now,

		     int nonagle, int size_goal)

{

	struct tcp_sock *tp = tcp_sk(sk);

	struct sk_buff *skb;



	if (!tcp_send_head(sk))

		return;



	skb = tcp_write_queue_tail(sk);

	if (!(flags & MSG_MORE) || forced_push(tp))

		tcp_mark_push(tp, skb);



	tcp_mark_urg(tp, flags);



	if (tcp_should_autocork(sk, skb, size_goal)) {



		/* avoid atomic op if TSQ_THROTTLED bit is already set */

		if (!test_bit(TSQ_THROTTLED, &sk->sk_tsq_flags)) {

			NET_INC_STATS(sock_net(sk), LINUX_MIB_TCPAUTOCORKING);

			set_bit(TSQ_THROTTLED, &sk->sk_tsq_flags);

		}

		/* It is possible TX completion already happened

		 * before we set TSQ_THROTTLED.

		 */

		if (atomic_read(&sk->sk_wmem_alloc) > skb->truesize)

			return;

	}",c,safe,,,
"static int tcp_splice_data_recv(read_descriptor_t *rd_desc, struct sk_buff *skb,

				unsigned int offset, size_t len)

{

	struct tcp_splice_state *tss = rd_desc->arg.data;

	int ret;



	ret = skb_splice_bits(skb, skb->sk, offset, tss->pipe,

			      min(rd_desc->count, len), tss->flags);

	if (ret > 0)

		rd_desc->count -= ret;

	return ret;

}",c,safe,,,
"static int __tcp_splice_read(struct sock *sk, struct tcp_splice_state *tss)

{

	/* Store TCP splice context information in read_descriptor_t. */

	read_descriptor_t rd_desc = {

		.arg.data = tss,

		.count	  = tss->len,

	};



	return tcp_read_sock(sk, &rd_desc, tcp_splice_data_recv);

}",c,safe,,,
"ssize_t tcp_splice_read(struct socket *sock, loff_t *ppos,

			struct pipe_inode_info *pipe, size_t len,

			unsigned int flags)

{

	struct sock *sk = sock->sk;

	struct tcp_splice_state tss = {

		.pipe = pipe,

		.len = len,

		.flags = flags,

	};

	long timeo;

	ssize_t spliced;

	int ret;



	sock_rps_record_flow(sk);

	/*

	 * We can't seek on a socket input

	 */

	if (unlikely(*ppos))

		return -ESPIPE;



	ret = spliced = 0;



	lock_sock(sk);



	timeo = sock_rcvtimeo(sk, sock->file->f_flags & O_NONBLOCK);

	while (tss.len) {

		ret = __tcp_splice_read(sk, &tss);

		if (ret < 0)

			break;

		else if (!ret) {

			if (spliced)

				break;

			if (sock_flag(sk, SOCK_DONE))

				break;

			if (sk->sk_err) {

				ret = sock_error(sk);

				break;

			}

			if (sk->sk_shutdown & RCV_SHUTDOWN)

				break;

			if (sk->sk_state == TCP_CLOSE) {

				/*

				 * This occurs when user tries to read

				 * from never connected socket.

				 */

				if (!sock_flag(sk, SOCK_DONE))

					ret = -ENOTCONN;

				break;

			}

			if (!timeo) {

				ret = -EAGAIN;

				break;

			}

			/* if __tcp_splice_read() got nothing while we have

			 * an skb in receive queue, we do not want to loop.

			 * This might happen with URG data.

			 */

			if (!skb_queue_empty(&sk->sk_receive_queue))

				break;

			sk_wait_data(sk, &timeo, NULL);

			if (signal_pending(current)) {

				ret = sock_intr_errno(timeo);

				break;

			}

			continue;

		}",c,safe,,,
"struct sk_buff *sk_stream_alloc_skb(struct sock *sk, int size, gfp_t gfp,

				    bool force_schedule)

{

	struct sk_buff *skb;



	/* The TCP header must be at least 32-bit aligned.  */

	size = ALIGN(size, 4);



	if (unlikely(tcp_under_memory_pressure(sk)))

		sk_mem_reclaim_partial(sk);



	skb = alloc_skb_fclone(size + sk->sk_prot->max_header, gfp);

	if (likely(skb)) {

		bool mem_scheduled;



		if (force_schedule) {

			mem_scheduled = true;

			sk_forced_mem_schedule(sk, skb->truesize);

		} else {

			mem_scheduled = sk_wmem_schedule(sk, skb->truesize);

		}

		if (likely(mem_scheduled)) {

			skb_reserve(skb, sk->sk_prot->max_header);

			/*

			 * Make sure that we have exactly size bytes

			 * available to the caller, no more, no less.

			 */

			skb->reserved_tailroom = skb->end - skb->tail - size;

			return skb;

		}

		__kfree_skb(skb);

	}",c,safe,,,
"static unsigned int tcp_xmit_size_goal(struct sock *sk, u32 mss_now,

				       int large_allowed)

{

	struct tcp_sock *tp = tcp_sk(sk);

	u32 new_size_goal, size_goal;



	if (!large_allowed || !sk_can_gso(sk))

		return mss_now;



	/* Note : tcp_tso_autosize() will eventually split this later */

	new_size_goal = sk->sk_gso_max_size - 1 - MAX_TCP_HEADER;

	new_size_goal = tcp_bound_to_half_wnd(tp, new_size_goal);



	/* We try hard to avoid divides here */

	size_goal = tp->gso_segs * mss_now;

	if (unlikely(new_size_goal < size_goal ||

		     new_size_goal >= size_goal + mss_now)) {

		tp->gso_segs = min_t(u16, new_size_goal / mss_now,

				     sk->sk_gso_max_segs);

		size_goal = tp->gso_segs * mss_now;

	}



	return max(size_goal, mss_now);

}",c,safe,,,
"static int tcp_send_mss(struct sock *sk, int *size_goal, int flags)

{

	int mss_now;



	mss_now = tcp_current_mss(sk);

	*size_goal = tcp_xmit_size_goal(sk, mss_now, !(flags & MSG_OOB));



	return mss_now;

}",c,safe,,,
"static ssize_t do_tcp_sendpages(struct sock *sk, struct page *page, int offset,

				size_t size, int flags)

{

	struct tcp_sock *tp = tcp_sk(sk);

	int mss_now, size_goal;

	int err;

	ssize_t copied;

	long timeo = sock_sndtimeo(sk, flags & MSG_DONTWAIT);



	/* Wait for a connection to finish. One exception is TCP Fast Open

	 * (passive side) where data is allowed to be sent before a connection

	 * is fully established.

	 */

	if (((1 << sk->sk_state) & ~(TCPF_ESTABLISHED | TCPF_CLOSE_WAIT)) &&

	    !tcp_passive_fastopen(sk)) {

		err = sk_stream_wait_connect(sk, &timeo);

		if (err != 0)

			goto out_err;

	}",c,safe,,,
"else if (skb == tcp_send_head(sk))

			tcp_push_one(sk, mss_now);

		continue;



wait_for_sndbuf:

		set_bit(SOCK_NOSPACE, &sk->sk_socket->flags);

wait_for_memory:

		tcp_push(sk, flags & ~MSG_MORE, mss_now,

			 TCP_NAGLE_PUSH, size_goal);



		err = sk_stream_wait_memory(sk, &timeo);

		if (err != 0)

			goto do_error;



		mss_now = tcp_send_mss(sk, &size_goal, flags);

	}



out:

	if (copied) {

		tcp_tx_timestamp(sk, sk->sk_tsflags, tcp_write_queue_tail(sk));

		if (!(flags & MSG_SENDPAGE_NOTLAST))

			tcp_push(sk, flags, mss_now, tp->nonagle, size_goal);

	}",c,safe,,,
"return sk_stream_error(sk, flags, err);

}



int tcp_sendpage(struct sock *sk, struct page *page, int offset,

		 size_t size, int flags)

{

	ssize_t res;



	if (!(sk->sk_route_caps & NETIF_F_SG) ||

	    !sk_check_csum_caps(sk))

		return sock_no_sendpage(sk->sk_socket, page, offset, size,

					flags);



	lock_sock(sk);



	tcp_rate_check_app_limited(sk);  /* is sending application-limited? */



	res = do_tcp_sendpages(sk, page, offset, size, flags);

	release_sock(sk);

	return res;

}",c,safe,,,
"head allows better SACK shifting

 * in tcp_shift_skb_data(), reducing sack/rack overhead, because

 * write queue has less skbs.

 * Each skb can hold up to MAX_SKB_FRAGS * 32Kbytes, or ~0.5 MB.

 * This also speeds up tso_fragment(), since it wont fallback

 * to tcp_fragment().

 */

static int linear_payload_sz(bool first_skb)

{

	if (first_skb)

		return SKB_WITH_OVERHEAD(2048 - MAX_TCP_HEADER);

	return 0;

}",c,safe,,,
"static int select_size(const struct sock *sk, bool sg, bool first_skb)

{

	const struct tcp_sock *tp = tcp_sk(sk);

	int tmp = tp->mss_cache;



	if (sg) {

		if (sk_can_gso(sk)) {

			tmp = linear_payload_sz(first_skb);

		} else {

			int pgbreak = SKB_MAX_HEAD(MAX_TCP_HEADER);



			if (tmp >= pgbreak &&

			    tmp <= pgbreak + (MAX_SKB_FRAGS - 1) * PAGE_SIZE)

				tmp = pgbreak;

		}

	}",c,safe,,,
"void tcp_free_fastopen_req(struct tcp_sock *tp)

{

	if (tp->fastopen_req) {

		kfree(tp->fastopen_req);

		tp->fastopen_req = NULL;

	}

}",c,safe,,,
"static int tcp_sendmsg_fastopen(struct sock *sk, struct msghdr *msg,

				int *copied, size_t size)

{

	struct tcp_sock *tp = tcp_sk(sk);

	struct inet_sock *inet = inet_sk(sk);

	int err, flags;



	if (!(sysctl_tcp_fastopen & TFO_CLIENT_ENABLE))

		return -EOPNOTSUPP;

	if (tp->fastopen_req)

		return -EALREADY; /* Another Fast Open is in progress */



	tp->fastopen_req = kzalloc(sizeof(struct tcp_fastopen_request),

				   sk->sk_allocation);

	if (unlikely(!tp->fastopen_req))

		return -ENOBUFS;

	tp->fastopen_req->data = msg;

	tp->fastopen_req->size = size;



	if (inet->defer_connect) {

		err = tcp_connect(sk);

		/* Same failure procedure as in tcp_v4/6_connect */

		if (err) {

			tcp_set_state(sk, TCP_CLOSE);

			inet->inet_dport = 0;

			sk->sk_route_caps = 0;

		}

	}",c,safe,,,
"int tcp_sendmsg(struct sock *sk, struct msghdr *msg, size_t size)

{

	struct tcp_sock *tp = tcp_sk(sk);

	struct sk_buff *skb;

	struct sockcm_cookie sockc;

	int flags, err, copied = 0;

	int mss_now = 0, size_goal, copied_syn = 0;

	bool process_backlog = false;

	bool sg;

	long timeo;



	lock_sock(sk);



	flags = msg->msg_flags;

	if (unlikely(flags & MSG_FASTOPEN || inet_sk(sk)->defer_connect)) {

		err = tcp_sendmsg_fastopen(sk, msg, &copied_syn, size);

		if (err == -EINPROGRESS && copied_syn > 0)

			goto out;

		else if (err)

			goto out_err;

	}",c,safe,,,
"else if (skb == tcp_send_head(sk))

			tcp_push_one(sk, mss_now);

		continue;



wait_for_sndbuf:

		set_bit(SOCK_NOSPACE, &sk->sk_socket->flags);

wait_for_memory:

		if (copied)

			tcp_push(sk, flags & ~MSG_MORE, mss_now,

				 TCP_NAGLE_PUSH, size_goal);



		err = sk_stream_wait_memory(sk, &timeo);

		if (err != 0)

			goto do_error;



		mss_now = tcp_send_mss(sk, &size_goal, flags);

	}



out:

	if (copied) {

		tcp_tx_timestamp(sk, sockc.tsflags, tcp_write_queue_tail(sk));

		tcp_push(sk, flags, mss_now, tp->nonagle, size_goal);

	}",c,safe,,,
"static int tcp_recv_urg(struct sock *sk, struct msghdr *msg, int len, int flags)

{

	struct tcp_sock *tp = tcp_sk(sk);



	/* No URG data to read. */

	if (sock_flag(sk, SOCK_URGINLINE) || !tp->urg_data ||

	    tp->urg_data == TCP_URG_READ)

		return -EINVAL;	/* Yes this is right ! */



	if (sk->sk_state == TCP_CLOSE && !sock_flag(sk, SOCK_DONE))

		return -ENOTCONN;



	if (tp->urg_data & TCP_URG_VALID) {

		int err = 0;

		char c = tp->urg_data;



		if (!(flags & MSG_PEEK))

			tp->urg_data = TCP_URG_READ;



		/* Read urgent data. */

		msg->msg_flags |= MSG_OOB;



		if (len > 0) {

			if (!(flags & MSG_TRUNC))

				err = memcpy_to_msg(msg, &c, 1);

			len = 1;

		} else

			msg->msg_flags |= MSG_TRUNC;



		return err ? -EFAULT : len;

	}",c,safe,,,
"Fixed the recv(..., MSG_OOB) behaviour.  BSD docs and

	 * the available implementations agree in this case:

	 * this call should never block, independent of the

	 * blocking state of the socket.

	 * Mike <pall@rz.uni-karlsruhe.de>

	 */

	return -EAGAIN;

}



static int tcp_peek_sndq(struct sock *sk, struct msghdr *msg, int len)

{

	struct sk_buff *skb;

	int copied = 0, err = 0;



	/* XXX -- need to support SO_PEEK_OFF */



	skb_queue_walk(&sk->sk_write_queue, skb) {

		err = skb_copy_datagram_msg(skb, 0, msg, skb->len);

		if (err)

			break;



		copied += skb->len;

	}



	return err ?: copied;

}",c,safe,,,
"static void tcp_cleanup_rbuf(struct sock *sk, int copied)

{

	struct tcp_sock *tp = tcp_sk(sk);

	bool time_to_ack = false;



	struct sk_buff *skb = skb_peek(&sk->sk_receive_queue);



	WARN(skb && !before(tp->copied_seq, TCP_SKB_CB(skb)->end_seq),

	     ""cleanup rbuf bug: copied %X seq %X rcvnxt %X\n"",

	     tp->copied_seq, TCP_SKB_CB(skb)->end_seq, tp->rcv_nxt);



	if (inet_csk_ack_scheduled(sk)) {

		const struct inet_connection_sock *icsk = inet_csk(sk);

		   /* Delayed ACKs frequently hit locked sockets during bulk

		    * receive. */

		if (icsk->icsk_ack.blocked ||

		    /* Once-per-two-segments ACK was not sent by tcp_input.c */

		    tp->rcv_nxt - tp->rcv_wup > icsk->icsk_ack.rcv_mss ||

		    /*

		     * If this read emptied read buffer, we send ACK, if

		     * connection is not bidirectional, user drained

		     * receive buffer and there was a small segment

		     * in queue.

		     */

		    (copied > 0 &&

		     ((icsk->icsk_ack.pending & ICSK_ACK_PUSHED2) ||

		      ((icsk->icsk_ack.pending & ICSK_ACK_PUSHED) &&

		       !icsk->icsk_ack.pingpong)) &&

		      !atomic_read(&sk->sk_rmem_alloc)))

			time_to_ack = true;

	}",c,safe,,,
"static void tcp_prequeue_process(struct sock *sk)

{

	struct sk_buff *skb;

	struct tcp_sock *tp = tcp_sk(sk);



	NET_INC_STATS(sock_net(sk), LINUX_MIB_TCPPREQUEUED);



	while ((skb = __skb_dequeue(&tp->ucopy.prequeue)) != NULL)

		sk_backlog_rcv(sk, skb);



	/* Clear memory counter. */

	tp->ucopy.memory = 0;

}",c,safe,,,
"static struct sk_buff *tcp_recv_skb(struct sock *sk, u32 seq, u32 *off)

{

	struct sk_buff *skb;

	u32 offset;



	while ((skb = skb_peek(&sk->sk_receive_queue)) != NULL) {

		offset = seq - TCP_SKB_CB(skb)->seq;

		if (unlikely(TCP_SKB_CB(skb)->tcp_flags & TCPHDR_SYN)) {

			pr_err_once(""%s: found a SYN, please report !\n"", __func__);

			offset--;

		}

		if (offset < skb->len || (TCP_SKB_CB(skb)->tcp_flags & TCPHDR_FIN)) {

			*off = offset;

			return skb;

		}

		/* This looks weird, but this can happen if TCP collapsing

		 * splitted a fat GRO packet, while we released socket lock

		 * in skb_splice_bits()

		 */

		sk_eat_skb(sk, skb);

	}",c,safe,,,
"This routine provides an alternative to tcp_recvmsg() for routines

 * that would like to handle copying from skbuffs directly in 'sendfile'

 * fashion.

 * Note:

 *	- It is assumed that the socket was locked by the caller.

 *	- The routine does not block.

 *	- At present, there is no support for reading OOB data

 *	  or for 'peeking' the socket using this routine

 *	  (although both would be easy to implement).

 */

int tcp_read_sock(struct sock *sk, read_descriptor_t *desc,

		  sk_read_actor_t recv_actor)

{

	struct sk_buff *skb;

	struct tcp_sock *tp = tcp_sk(sk);

	u32 seq = tp->copied_seq;

	u32 offset;

	int copied = 0;



	if (sk->sk_state == TCP_LISTEN)

		return -ENOTCONN;

	while ((skb = tcp_recv_skb(sk, seq, &offset)) != NULL) {

		if (offset < skb->len) {

			int used;

			size_t len;



			len = skb->len - offset;

			/* Stop reading if we hit a patch of urgent data */

			if (tp->urg_data) {

				u32 urg_offset = tp->urg_seq - seq;

				if (urg_offset < len)

					len = urg_offset;

				if (!len)

					break;

			}

			used = recv_actor(desc, skb, offset, len);

			if (used <= 0) {

				if (!copied)

					copied = used;

				break;

			} else if (used <= len) {

				seq += used;

				copied += used;

				offset += used;

			}

			/* If recv_actor drops the lock (e.g. TCP splice

			 * receive) the skb pointer might be invalid when

			 * getting here: tcp_collapse might have deleted it

			 * while aggregating skbs from the socket queue.

			 */

			skb = tcp_recv_skb(sk, seq - 1, &offset);

			if (!skb)

				break;

			/* TCP coalescing might have appended data to the skb.

			 * Try to splice more frags

			 */

			if (offset + 1 != skb->len)

				continue;

		}",c,safe,,,
"int tcp_peek_len(struct socket *sock)

{

	return tcp_inq(sock->sk);

}",c,safe,,,
"int tcp_recvmsg(struct sock *sk, struct msghdr *msg, size_t len, int nonblock,

		int flags, int *addr_len)

{

	struct tcp_sock *tp = tcp_sk(sk);

	int copied = 0;

	u32 peek_seq;

	u32 *seq;

	unsigned long used;

	int err;

	int target;		/* Read at least this many bytes */

	long timeo;

	struct task_struct *user_recv = NULL;

	struct sk_buff *skb, *last;

	u32 urg_hole = 0;



	if (unlikely(flags & MSG_ERRQUEUE))

		return inet_recv_error(sk, msg, len, addr_len);



	if (sk_can_busy_loop(sk) && skb_queue_empty(&sk->sk_receive_queue) &&

	    (sk->sk_state == TCP_ESTABLISHED))

		sk_busy_loop(sk, nonblock);



	lock_sock(sk);



	err = -ENOTCONN;

	if (sk->sk_state == TCP_LISTEN)

		goto out;



	timeo = sock_rcvtimeo(sk, nonblock);



	/* Urgent data needs to be handled specially. */

	if (flags & MSG_OOB)

		goto recv_urg;



	if (unlikely(tp->repair)) {

		err = -EPERM;

		if (!(flags & MSG_PEEK))

			goto out;



		if (tp->repair_queue == TCP_SEND_QUEUE)

			goto recv_sndq;



		err = -EINVAL;

		if (tp->repair_queue == TCP_NO_QUEUE)

			goto out;



		/* 'common' recv queue MSG_PEEK-ing */

	}",c,safe,,,
"we have the following (pseudo)queues:

			 *

			 * 1. packets in flight

			 * 2. backlog

			 * 3. prequeue

			 * 4. receive_queue

			 *

			 * Each queue can be processed only if the next ones

			 * are empty. At this point we have empty receive_queue.

			 * But prequeue _can_ be not empty after 2nd iteration,

			 * when we jumped to start of loop because backlog

			 * processing added something to receive_queue.

			 * We cannot release_sock(), because backlog contains

			 * packets arrived _after_ prequeued ones.

			 *

			 * Shortly, algorithm is clear --- to process all

			 * the queues in order. We could make it more directly,

			 * requeueing packets from backlog to prequeue, if

			 * is not empty. It is more elegant, but eats cycles,

			 * unfortunately.

			 */

			if (!skb_queue_empty(&tp->ucopy.prequeue))

				goto do_prequeue;



			/* __ Set realtime policy in scheduler __ */

		}



		if (copied >= target) {

			/* Do not sleep, just process backlog. */

			release_sock(sk);

			lock_sock(sk);

		}",c,safe,,,
"void tcp_set_state(struct sock *sk, int state)

{

	int oldstate = sk->sk_state;



	switch (state) {

	case TCP_ESTABLISHED:

		if (oldstate != TCP_ESTABLISHED)

			TCP_INC_STATS(sock_net(sk), TCP_MIB_CURRESTAB);

		break;



	case TCP_CLOSE:

		if (oldstate == TCP_CLOSE_WAIT || oldstate == TCP_ESTABLISHED)

			TCP_INC_STATS(sock_net(sk), TCP_MIB_ESTABRESETS);



		sk->sk_prot->unhash(sk);

		if (inet_csk(sk)->icsk_bind_hash &&

		    !(sk->sk_userlocks & SOCK_BINDPORT_LOCK))

			inet_put_port(sk);

		/* fall through */

	default:

		if (oldstate == TCP_ESTABLISHED)

			TCP_DEC_STATS(sock_net(sk), TCP_MIB_CURRESTAB);

	}



	/* Change state AFTER socket is unhashed to avoid closed

	 * socket sitting in hash tables.

	 */

	sk_state_store(sk, state);



#ifdef STATE_TRACE

	SOCK_DEBUG(sk, ""TCP sk=%p, State %s -> %s\n"", sk, statename[oldstate], statename[state]);

#endif

}",c,safe,,,
"static int tcp_close_state(struct sock *sk)

{

	int next = (int)new_state[sk->sk_state];

	int ns = next & TCP_STATE_MASK;



	tcp_set_state(sk, ns);



	return next & TCP_ACTION_FIN;

}",c,safe,,,
