code,language,safety,,,,,,,,,,,,,,,,,,,,,,,
"static void cdxl_decode_rgb(CDXLVideoContext *c, AVFrame *frame)

{

    uint32_t *new_palette = (uint32_t *)frame->data[1];



    memset(frame->data[1], 0, AVPALETTE_SIZE);

    import_palette(c, new_palette);

    import_format(c, frame->linesize[0], frame->data[0]);

}",c,safe,,,,,,,,,,,,,,,,,,,,,,,
"static void cdxl_decode_raw(CDXLVideoContext *c, AVFrame *frame)

{

    import_format(c, frame->linesize[0], frame->data[0]);

}",c,safe,,,,,,,,,,,,,,,,,,,,,,,
"else if (!encoding && c->bpp == 24 && c->format == CHUNKY &&

               !c->palette_size) {

        avctx->pix_fmt = AV_PIX_FMT_RGB24;

    }",c,safe,,,,,,,,,,,,,,,,,,,,,,,
"else if (avctx->pix_fmt == AV_PIX_FMT_PAL8) {

        cdxl_decode_rgb(c, p);

    }",c,safe,,,,,,,,,,,,,,,,,,,,,,,
"static av_cold int cdxl_decode_end(AVCodecContext *avctx)

{

    CDXLVideoContext *c = avctx->priv_data;



    av_freep(&c->new_video);



    return 0;

}",c,safe,,,,,,,,,,,,,,,,,,,,,,,
"function updateForm() {

  var cs = document.forms[""currencies""].cs[document.forms[""currencies""].cs.selectedIndex].value;



  document.forms[""currencies""].title.value = currency_select[cs][0];

  document.forms[""currencies""].code.value = cs;

  document.forms[""currencies""].symbol_left.value = currency_select[cs][1];

  document.forms[""currencies""].symbol_right.value = currency_select[cs][2];

  document.forms[""currencies""].decimal_point.value = currency_select[cs][3];

  document.forms[""currencies""].thousands_point.value = currency_select[cs][4];

  document.forms[""currencies""].decimal_places.value = currency_select[cs][5];

  document.forms[""currencies""].value.value = 1;

}",php,safe,,,,,,,,,,,,,,,,,,,,,,,
"function __construct($updatables, $deletables, $canRename = true) {

		$this->updatables = $updatables;

		$this->deletables = $deletables;

		$this->canRename = $canRename;

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function isUpdatable($path) {

		return $this->updatables[$path];

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function isCreatable($path) {

		return $this->updatables[$path];

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function isDeletable($path) {

		return $this->deletables[$path];

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function rename($path1, $path2) {

		return $this->canRename;

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function getRelativePath($path) {

		return $path;

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function testMoveFailed($source, $destination, $updatables, $deletables) {

		$this->moveTest($source, $destination, $updatables, $deletables);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function testMoveSuccess($source, $destination, $updatables, $deletables) {

		$this->moveTest($source, $destination, $updatables, $deletables);

		$this->assertTrue(true);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function testMoveFailedInvalidChars($source, $destination, $updatables, $deletables) {

		$this->moveTest($source, $destination, $updatables, $deletables);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function moveFailedInvalidCharsProvider() {

		return array(

			array('a/b', 'a/*', array('a' => true, 'a/b' => true, 'a/c*' => false), array()),

		);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function moveFailedProvider() {

		return array(

			array('a/b', 'a/c', array('a' => false, 'a/b' => false, 'a/c' => false), array()),

			array('a/b', 'b/b', array('a' => false, 'a/b' => false, 'b' => false, 'b/b' => false), array()),

			array('a/b', 'b/b', array('a' => false, 'a/b' => true, 'b' => false, 'b/b' => false), array()),

			array('a/b', 'b/b', array('a' => true, 'a/b' => true, 'b' => false, 'b/b' => false), array()),

			array('a/b', 'b/b', array('a' => true, 'a/b' => true, 'b' => true, 'b/b' => false), array('a/b' => false)),

			array('a/b', 'a/c', array('a' => false, 'a/b' => true, 'a/c' => false), array()),

		);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function moveSuccessProvider() {

		return array(

			array('a/b', 'b/b', array('a' => true, 'a/b' => true, 'b' => true, 'b/b' => false), array('a/b' => true)),

			// older files with special chars can still be renamed to valid names

			array('a/b*', 'b/b', array('a' => true, 'a/b*' => true, 'b' => true, 'b/b' => false), array('a/b*' => true)),

		);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function moveTest($source, $destination, $updatables, $deletables) {

		$view = new TestDoubleFileView($updatables, $deletables);



		$info = new FileInfo('', null, null, array(), null);



		$rootDir = new Directory($view, $info);

		$objectTree = $this->getMock('\OC\Connector\Sabre\ObjectTree',

			array('nodeExists', 'getNodeForPath'),

			array($rootDir, $view));



		$objectTree->expects($this->once())

			->method('getNodeForPath')

			->with($this->identicalTo($source))

			->will($this->returnValue(false));



		/** @var $objectTree \OC\Connector\Sabre\ObjectTree */

		$mountManager = \OC\Files\Filesystem::getMountManager();

		$objectTree->init($rootDir, $view, $mountManager);

		$objectTree->move($source, $destination);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function nodeForPathProvider() {

		return array(

			// regular file

			array(

				'regularfile.txt',

				'regularfile.txt',

				'regularfile.txt',

				'file',

				false

			),

			// regular directory

			array(

				'regulardir',

				'regulardir',

				'regulardir',

				'dir',

				false

			),

			// regular file with chunking

			array(

				'regularfile.txt',

				'regularfile.txt',

				'regularfile.txt',

				'file',

				true

			),

			// regular directory with chunking

			array(

				'regulardir',

				'regulardir',

				'regulardir',

				'dir',

				true

			),

			// file with chunky file name

			array(

				'regularfile.txt-chunking-123566789-10-1',

				'regularfile.txt',

				'regularfile.txt',

				'file',

				true

			),

			// regular file in subdir

			array(

				'subdir/regularfile.txt',

				'subdir/regularfile.txt',

				'regularfile.txt',

				'file',

				false

			),

			// regular directory in subdir

			array(

				'subdir/regulardir',

				'subdir/regulardir',

				'regulardir',

				'dir',

				false

			),

			// file with chunky file name in subdir

			array(

				'subdir/regularfile.txt-chunking-123566789-10-1',

				'subdir/regularfile.txt',

				'regularfile.txt',

				'file',

				true

			),

		);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
"function testFailingMove() {

		$source = 'a/b';

		$destination = 'b/b';

		$updatables = array('a' => true, 'a/b' => true, 'b' => true, 'b/b' => false);

		$deletables = array('a/b' => true);



		$view = new TestDoubleFileView($updatables, $deletables);



		$info = new FileInfo('', null, null, array(), null);



		$rootDir = new Directory($view, $info);

		$objectTree = $this->getMock('\OC\Connector\Sabre\ObjectTree',

			array('nodeExists', 'getNodeForPath'),

			array($rootDir, $view));



		$sourceNode = $this->getMockBuilder('\Sabre\DAV\ICollection')

			->disableOriginalConstructor()

			->getMock();

		$sourceNode->expects($this->once())

			->method('getName')

			->will($this->returnValue('nameOfSourceNode'));



		$objectTree->expects($this->once())

			->method('nodeExists')

			->with($this->identicalTo($destination))

			->will($this->returnValue(true));

		$objectTree->expects($this->once())

			->method('getNodeForPath')

			->with($this->identicalTo($source))

			->will($this->returnValue($sourceNode));



		/** @var $objectTree \OC\Connector\Sabre\ObjectTree */

		$mountManager = \OC\Files\Filesystem::getMountManager();

		$objectTree->init($rootDir, $view, $mountManager);

		$objectTree->move($source, $destination);

	}",php,vulnerable,,,,,,,,,,,,,,,,,,,,,,,
